2	67
1	89
2	68
1	6
0	53
1	90
2	48
2	95
0	18
1	40
2	7
1	55
2	86
2	45
0	28
0	45
2	2
2	16
1	54
2	95
0	94
1	20
1	25
1	2
2	29
2	53
0	93
2	19
0	20
1	49
2	45
2	75
0	99
1	84
1	56
0	55
2	91
2	3
0	66
2	86
2	94
1	30
2	23
1	60
2	84
2	44
2	49
0	89
1	94
2	7
0	77
2	59
2	77
2	33
2	36
0	28
2	46
1	17
1	66
0	18
1	54
1	60
1	78
2	59
1	76
0	50
0	3
2	97
2	11
1	3
2	78
0	92
2	9
2	32
1	26
0	44
2	68
2	83
0	7
1	25
1	41
0	37
0	54
0	11
0	41
0	35
0	25
1	2
1	81
2	90
2	35
1	19
1	23
1	4
1	4
1	100
2	23
1	95
0	26
1	88
2	75
0	66
2	70
1	100
1	82
1	68
2	89
1	26
1	13
1	73
1	58
2	91
2	52
1	63
0	17
2	3
0	64
1	27
1	58
2	42
2	8
1	27
1	33
0	50
0	62
2	19
0	30
1	66
2	15
2	26
1	81
0	74
1	2
1	61
1	57
1	38
0	51
0	72
0	85
0	78
1	38
0	94
0	16
1	17
2	34
0	74
1	74
1	62
2	67
2	80
1	9
2	72
1	1
0	23
2	43
2	33
0	88
1	90
2	66
1	91
2	88
0	44
0	24
2	48
0	32
1	72
2	55
1	28
2	59
0	65
2	98
1	99
2	55
0	25
2	32
1	36
0	85
1	16
2	12
0	55
2	45
2	40
0	73
1	100
0	86
0	70
0	91
2	29
1	48
2	88
